clinic_name,Country,state,region,Location,Practice Type,Turn Over Range,clinic_revenue,number_of_chair,Value Per Chair,Rank,Group,About the Premises,About the practice ,About The Area,Notes
N20224,"Australia, Bondi Junction",Queensland,Bondi Junction,Metro,Dentist GP,$1M-$1.5M,1250000,5,"250,000",38,7,"Ideally located adjacent to Westfield Shopping Centre and across from Waverley Street mall with plenty of outdoor cafes and eateries nearby. 
Short walk to Bondi Junction Bus and Rail interchange
5 fitted out surgeries plus OPG
Large reception area
Three car spaces","Take advantage of this rare opportunity to purchase an established multi-clinician practice with greater than $1m in turnover. The practice is well equipped and has 5 surgeries, an OPG, a modern fitout, and a spacious reception and waiting room. Located in one of Sydney’s most upmarket areas, the practice is a short distance from two major shopping centres, numerous retail shops, cafes and restaurants, and a rail and bus interchange. Patients have for their convenience a wide range of public transport options along with access to parking stations and on-street metered parking.  ","Bondi Junction is an eastern suburb of Sydney, approximately 6 kilometres east of the CBD. It has an abundance of offices, cafes, restaurants and a vast range of major retail outlets, supermarkets and department stores. Bondi Junction is a largely commercial suburb, which has seen substantial development – both residential and commercial - over the last twenty years. Bondi Junction Railway Station is the main link between the eastern suburbs, Sydney’s CBD and the South Coast Line services. ",
Q4587,"Australia, Brisbane CBD",Queensland,Brisbane CBD,Metro,Dentist GP,$500K-$1M,750000,3,"250,000",40,7,"Three surgeries (one set up for prosthetist)
Additional plumbed room
Laboratory, steri, meeting room, staff room, decent sized office & bathroom
Large undercover carpark available
Refurbished in 2018
Bus stops in front of the shopping centre","Conveniently located in a busy shopping village, this practice is operated by a dedicated team of dentists, assistants and a prosthetist who visits half a day per week . The practice, which is less than 15km from the CBD, has a wide catchment area and has developed a reputation for emphasis on patient care and comfort. The principal is selling to focus on other business interests and is willing to stay on to ensure a smooth transition for the patients, staff and referral base. Contact us now for more information or to arrange an inspection. ","This residential suburb is less than 15 km (a 15-minute drive) from the Brisbane CBD. The country meets the city in this suburb, which has all the charm of country living, with the conveniences of a city. The commercial area contains a wide range of retailers and services, including a primary school, with secondary schools located in neighbouring suburbs. ",15 kms from the Brisbane CBD
N21341,"Australia, Sydney Inner West",Queensland,Sydney Inner West,Metro,Dentist Specialist,>$1M,1000000,5,"200,000",45,7,"Both practices are located on a main arterial road with excellent exposure to passing traffic and ample parking available. 
There is scope to expand in both locations.
Both practices are in close proximity to numerous schools
LOCATION 1

Situated in a commercial suite in a federation building
Modern fit out
Premises size: 89 sq. m
LOCATION 2

Situated in a commercial suite 
Modern fit out
Premises size: 130 sq. m","These two orthodontic practices have been looking after the local and wider community for over 10 years. The practices benefit from their proximity to some of Sydney's best secondary schools. Both practices have excellent street visibility, being located on the main road, and are easily accessible, with numerous public and private transport options.  The vendor is the sole orthodontist and has generated impressive figures working 4 days a week. The vendor is happy to stay on post sale to assist with a smooth transition. Don't miss this opportunity to take over a thriving business in the desirable Inner West.    ","The Inner West of Sydney is an area directly west of the Sydney CBD. The suburbs that make up the Inner West are predominantly located along the southern shore of Port Jackson (Parramatta River), stretching south to the shores of the Cooks River.  ",
N2511,"Australia, Western Sydney",Victoria,Western Sydney,Metro,Dentist GP,$1.5M-$2M,1750000,2,"875,000",2,8,"Situated in a local shopping centre
Bright, modern fit out
Glass-fronted reception
Parking available in underground and outdoor parking lot
Premises size: 83 sq. m ","Located in a busy shopping centre, this high-grossing practice has excellent exposure to visitors to the centre. The bright, stylish practice has prominent, highly visible signage and large glass windows in the reception area. There is ample parking in the centre, which is also accessible by bus. The practice grossed more than $1.5m in the last two financial years, operating with a skilled team of employee dentists and DAs.   ","This suburb of Western Sydney, between the Hills District and North Shore of Parramatta, is roughly 25km northwest of the CBD. A large shopping centre, weekly markets and major corporate offices are based in the area. Transport links include the M2 motorway and buses, as well as train stations in nearby suburbs. There are primary and secondary schools in the suburb and numerous options in the wider area. Parks and reserves are scattered throughout, providing walking tracks and green space for sports and recreation.",
NZ2120,"Australia, Auckland",Victoria,Auckland,Metro,Dentist GP,$2M+,2000000,3,"666,667",4,8,"Situated in a stand-alone converted residential building
Bright, modern fit-out
Off-street parking available
Signage facing traffic
Bus stops close to the practice","This busy, modern practice won’t be on the market for long! Grossing more than $2 million in the last financial year, the practice operates with a loyal and highly skilled team of employee dentists and nurses. The vendor owns the property and is willing to provide a long lease, or sell the property along with the practice. ","This residential eastern suburb of Auckland lies 15 kilometres south of the CBD, on the eastern shore of Tamaki River. There is a large shopping centre and beautiful outdoor spaces with walkways, sports and recreation facilities. Attractions include an art gallery and historical village. There are primary and secondary schools in the area, which is easily accessible, with bus services and ample parking.",
NZ2313,"Australia, South Auckland suburb",Victoria,South Auckland suburb,Metro,Dentist GP,$500K-$750K,625000,1,"625,000",5,8,"Situated on the first floor in a commercial suite
Vendor’s premises size 30 sq. m (total premises size: 150 sq. m, communal area 90 sq. m)
Corner of a busy intersection 
Three onsite parking spaces, plus ample parking across the road
Good visibility from the road and passing traffic
Close to trains and buses","Situated on the corner of a busy intersection, this general practice has been operating for more than 70 years. There is ample parking for patients and staff and easy access to public transport. There is potential to add another surgery, with an extra room that is partially fitted out.  The vendor shares the premises with another dentist.","Papakura is a suburb of South Auckland on the North Island, approximately 32 kilometres south of the city centre. The suburb rests on the shores of the Pahurehure Inlet and has parks scattered around the area. There are primary and secondary schools in the suburb, as well as a choice of sporting facilities and sports clubs. Transport links include roads, trains and buses as well as a small regional airport.",
NZ21044,"Australia, South Auckland",Victoria,South Auckland,Metro,Dentist GP,$1.5M-$2M,1750000,3,"583,333",6,8,"Situated in a local shopping centre
Modern, stylish fitout
Surrounded by supermarket, chemist, medical services, eateries
Renovated and extended 2016
Parking available in outdoor parking lot","This modern, three-chair practice is located in a shopping centre in a busy retail suburb of South Auckland. The practice has been on an impressive growth trajectory over the last three years, with projections of close to $2 million forecast for this financial year. It operates with a skilled team of employee dentists, DAs and a hygienist. The transaction is walk-in/walk-out as the vendor is relocating overseas.","This suburb of South Auckland is located just over 20 kilometres south of the CBD. There are major shopping centres in the suburb, as well as two primary schools and two tertiary education campuses. There is easy access, with transport links connecting the suburb to the CBD and surrounding areas. Auckland City is situated on the north part of the North Island and is a vibrant multi-cultural blend of music, food, arts and spectacular scenery. The major financial and commercial hub of the country, Auckland is home to many large corporations, yet close to beautiful beaches and hiking trails.",
N22911,"Australia, Newcastle",Victoria,Newcastle,Metro,Dentist GP,$750K-$1M,875000,2,"437,500",13,8,"Located on the first floor of a two-storey suburban shopping square 
Close to a busy intersection 
Surrounded by retailers, allied health professionals, restaurants 
Surgeries filled with an abundance of natural light  
Ample free parking is available within the shopping square 
 Signage visible to passing cars ","This well-established, high-grossing practice was established in its current location almost 40 years ago.  The vendor has generated an impressive turnover as a lone practitioner, without evenings or weekends. The surgeries, have large windows that let in an abundance of natural light. 

The principal is happy to remain working at the practice to ensure a successful transfer of patients and is also happy to give support to experienced operators or mentoring as required.  ","This inner-city suburb of Newcastle is within walking distance of the beach and Newcastle Grammar School. Newcastle is the second largest city in New South Wales, 162 kilometres north of Sydney. It has undergone significant revitalisation in recent years and is a dynamic regional centre with affordable housing, a relaxed lifestyle, beautiful beaches, a major university, excellent schools and hospitals.   ",
V302994,"Australia, Hoppers Crossing",Victoria,Hoppers Crossing,Metro,Dentist GP,$750K-$1M,875000,2,"437,500",15,8,"Located in a medical centre at the intersection of two major roads
Opposite a major shopping centre
Ample parking outside the building
Bus stop metres from the building","This two-surgery practice is located in a residential suburb south-west of the Melbourne CBD. The practice is BUPA Platinum and Medibank preferred and has been operating for almost 20 years in its current location. It has been on a consistent growth trajectory for the last three years, grossing close to $1 million in the last financial year. The surgery is in a medical centre at a major intersection and is easily accessible, with a bus stop outside the building and ample parking for patients and staff. ","Hoppers Crossing is a suburb of Melbourne, 23 kilometres south-west of the CBD and a 35-minute drive to Melbourne airport. The area is predominantly residential, with good shopping facilities, several parks, playgrounds and recreational areas. Recreation reserves exist along what once was a river. The suburb is a family-friendly place to live, with many community events, including a weekly fresh food market. There are several primary and secondary public and private schools in the area, as well as the Victoria University (Werribee campus). Wyndham Harbour is 15 kilometres south of the practice.",
V31166,"Australia, Melbourne suburbs",Victoria,Melbourne suburbs,Metro,Dentist GP,>$1M,1000000,3,"333,333",22,9,"Located in a converted residential building on a leafy main road 
Premises underwent renovations in August 2017 
Three fully equipped surgeries, sterilisation room, reception and waiting area
Clear signage 
Nine dedicated parking spaces 
Bus stops located a short walk from the practice","This high-grossing practice is ideally located on a leafy main road in an upmarket residential suburb. Situated in a converted residential building, the practice contains three fully equipped surgeries and a modern reception area. The premises sits on a main road, with clear signage promoting the practice to passing traffic. The practice, which is not key-person dependent, has consistently grossed more than $1m in the last three financial years. The vendor only works in the practice 2 days a week, with a loyal, long-established team of employee dentists. ","This suburb of Melbourne is less than 28 kilometres east of Melbourne's CBD.  The town’s main street has more than 180 traders, with ample parking. The suburb is home to two shopping centres, and has six primary schools, three high schools and a campus of the Swinburne University of Technology. Public transport is predominantly by rail, however, a number of bus routes connect the suburb to the surrounding areas. ",
V31616,"Australia, East of Melbourne",Victoria,East of Melbourne,Metro,Dentist GP,>$1M,1000000,3,"333,333",23,9,"3 surgeries
Over 40 years
Next to strip of shops
4 dentists including vendor
Situated in a stand-alone building
Ample off-street parking
Great signage ","This three-surgery practice has been operating for more than 40 years, establishing itself as a provider of high-quality dental care. It is located in a stand-alone building, next to a strip of shops, with ample parking for patients and staff. The practice has 4 dentists (including the vendor), low key person dependence and consistently grosses more than $1.1m.","This practice is located in the eastern suburbs of Melbourne, 35km east of the CBD. The attractive suburb features parklands, sports clubs, two country clubs and a large shopping centre. There are a number of schools and a choice of sports clubs in the area. ",
N20761,"Australia, Upper North Shore",Victoria,Upper North Shore,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",26,9,"Located in the heart of the local transport and shopping precinct
Surrounding businesses include a supermarket, popular cafes and restaurants
Just 100m from the Railway Station, 150m from the car park and a short walk to three prestigious schools 
2 well-maintained surgeries
Premises size: 77 sq. m with single-car lock-up garage accessed from rear lane","Ideally located in the local transport and shopping hub of three of Sydney's most prestigious schools, this long-standing practice has been operating in the area for more than 20 years. This purchase offers a fantastic opportunity for a dentist looking for a well-established practice with room for further growth.","The ""Upper North Shore"" usually refers to all suburbs within the local government area of Ku-ring-gai, and a small area of Hornsby Shire, situated between Lane Cove National Park and Ku-ring-gai National Park, or suburbs between Boundary Street, Roseville and the M1 Motorway in Wahroonga. It is located to the north-west of the Sydney CBD. It roughly corresponds with the cadastral Parish of Gordon.[14] Sometimes, all suburbs adjoining the upper section of Lane Cove National Park are considered part of the Upper North Shore.

According to Australian Bureau of Statistics data collected from the Australian census of 2016, the local government area of Ku-ring-gai Council, which makes up almost the entirety of the Upper North Shore region, is the wealthiest local government area in Australia.",
V3340,"Australia, North-West of Melbourne",Victoria,North-West of Melbourne,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",33,9,"Situated along a shopping strip
2 Surgeries and 1 plumbed
Purpose built eight years ago
Parking in front and rear of practice","Own a two-surgery practice in a growing residential town an hour from Melbourne. The practice, which was purpose built eight years ago, has a third room that is plumbed but not fitted out. It is located in a strip of shops on a main road in a residential suburb. The vendor operates the practice with two employee dentists and is happy to stay on to assist with a smooth transition. ","This suburb of Bacchus Marsh has grown in recent decades as a result of its proximity to the Western Freeway. It has a country-town feel and is only an hour outside of Melbourne. There are two primary schools, a sports oval and golf club.

Bacchus Marsh is 50 kilometres northwest of Melbourne. It is equidistant from Melbourne, Geelong and Ballarat and is the main commuter town on the Melbourne-Ballarat corridor. Recreational facilities include picnic areas, walking trails, a state park and an airfield, with numerous educational and sporting facilities based in the area.

 ",
NZ10111,"Australia, Auckland",Victoria,Auckland,Metro,Dentist GP,>$1M,1000000,4,"250,000",39,9,"Situated on the top floor of a converted two-storey building
Corner block with clear signage facing traffic in both directions
4 surgeries
Light-filled rooms with external shutters
Parking at rear of the building
Buses run directly outside the surgery","Own a high-grossing practice in an upmarket Auckland suburb, less than 4km from the CBD. The practice is well maintained and filled with natural light. It is on the 2nd floor of a converted residential building on a corner block, with great exposure to passing traffic. The thriving business has been on an impressive growth trajectory over the last three years, grossing more than $1,500 000 in the last financial year. It has a loyal, long-standing team of dentists and DAs and has built a reputation for high-quality dental care in the local and wider community. ","This leafy suburb of Auckland lies approximately four kilometres south-east of the CBD. It has an abundance of green spaces, a choice of schools and numerous shopping arcades.",
NZ4140,"Australia, Palmerston North",Victoria,Palmerston North,Metro,Dentist GP,$750K-$1M,875000,4,"218,750",42,10,"Purpose-built practice in stand-alone building
Sophisticated, modern design
High visibility location, with more than 5000 vehicles passing by each day
Parking (on site) in the rear and at the front of the premises
Well-equipped surgeries, X-ray, sterilisation room
Bus stop around the corner
Opportunity to fit out two new surgeries and extend operating hours","A high-end, sophisticated practice with room for growth is available in Palmerston North. This successful four-chair practice has two additional rooms that are plumbed and wired and can easily be converted into surgeries. The practice occupies a stand-alone building that is surrounded by allied health professionals and government buildings. Prominent signage is displayed outside the building, and there is ample parking available for staff and patients. The vendor is willing to stay on for some time to ensure a smooth transition.","Palmerston North is a city on New Zealand's North Island, it is the country's eight-largest urban area and one of its largest provincial cities. It is known for its rose gardens and has been called the ""Rose City"". 

The city is only a short drive away from the picturesque Tararua and Ruahine Ranges and beautiful beaches, home to the breathtaking Manawatu Gorge. There is public and private schooling for all levels and three universities.  ",
N22002,"Australia, Bankstown",Victoria,Bankstown,Metro,Dentist GP,$500K-$750K,625000,3,"208,333",43,10,"Positioned in the main corridor of Bankstown
The site is zoned R4 High Density Residential
Situated in a converted residential property
On-site parking for five cars
Close proximity to Bankstown train station (850m) and bus stops
Premises size: 122 sq. m (land size 701.90 sq. m)","This high-grossing practice is owned by two principal dentists, one of whom is selling their 50% share of the business and premises. The practice, which is situation in a converted residential building, is located on one of Bankstown’s busiest roads and has excellent visibility to passing traffic and pedestrians. It has three surgeries with stained glass windows that let in natural light, and on-site parking for 5 cars. The practice is easily accessible, with numerous bus stops and the train station within close proximity. ","Bankstown is a suburb of south-western Sydney, in the state of New South Wales, 20 kilometres west of the CBD. The commercial area beside the railway station is known as Bankstown Plaza, while the ethnic diversity of the area has created a host of restaurants, eateries and cafes. Bankstown will be undergoing major development over the next 20 years; this will include the upgrade of Bankstown’s transport network and the existing Bankstown Central Shopping centre, as well as new residential high-rise properties. Major parks within Bankstown include McLeod Reserve, Bankstown Oval, Paul Keating Park and Bankstown City Gardens. Bankstown is situated in the Cumberland Plains region and is dominated by Bringelly Shale in the north and Ashfield shale in the south.",
NZ1071,"Australia, Auckland suburbs",Victoria,Auckland suburbs,Metro,Dentist GP,$500K-$750K,625000,3,"208,333",44,10,"Situated on a leafy residential street in a small medical suite
Off-road parking and street parking available
Light-filled reception and surgeries
Clear signage outside
Close to the local shops","This long-standing practice in located in a coastal Auckland suburb, moments from the water. The practice is in a medical centre on a main road, close to a busy intersection. Large windows let an abundance of natural light into the reception and surgeries and there is ample parking for patients and staff. The practice has generated impressive revenue with the vendor as sole operator, grossing more than $700,000 in the last financial year. Don’t miss the opportunity to take over a thriving practice with room for growth in a desirable Auckland suburb.","This waterfront suburb of Auckland is 7km east of the CBD. Its popular beach attracts locals and tourists for water sports, dining and views across the harbour. Ther are two shopping centres, as well as local shops and cafes along the waterfront. A number of schools are situated throughout the suburb and wider area. 

Auckland is a major city in the north of New Zealand’s North Island and the largest urban area in the country, with a population of more than 1,600 000. The University of Auckland, established in 1883, is the largest university in New Zealand. Landmarks such as the Auckland Art Gallery Toi o Tamaki, the Harbour Bridge, the Sky Tower and many museums, parks, restaurants and theatres are among the city's significant tourist attractions. Auckland Airport handles around one million international passengers a month. It is consistently ranked as one of the world’s most liveable cities.",
Q4521,"Australia, Gold Coast",Victoria,Gold Coast,Metro,Dentist GP,$500K-$750K,625000,4,"156,250",47,10,"Situated on the ground floor of a high-rise residential building 
Bright reception area with natural light
Three-hour parking in the underground car park or on the street
Bupa preferred
Owned by a corporate 
CBCT/OPG
4 chairs
Trios4 scanner","This 4-Chair BUPA preferred provider practice is available to purchase on Queensland’s Gold Coast. The four-chair practice, located on the ground floor of a high-rise residential building, is owned by a corporate. It has a bright reception area with natural light and ample parking for staff and patients. The practice has a CBCT/OPG and Trios4 scanner.   ","This suburb near the midpoint of the QLD’s Gold Coast has undergone extensive development in recent years. The area offers a range of water-based activities, including fishing, boating and water sports. It is close to Australia Fair Shopping Centre, which overlooks has 233 stores and a cinema. The suburb is well serviced by public transport; the Gold Coast Highway connects the city’s coastal suburbs, a light rail system runs from Broadbeach to Gold Coast University Hospital, and there are two major bus stations. The suburb has three primary schools, four high schools and three schools from prep to year 12, as well as two universities. ",
N2667,"Australia, Sydney North Shore",Victoria,Sydney North Shore,Metro,Dentist GP,<$500K,500000,1,"500,000",50,10,"Adjacent to major shopping centre
Situated on the second floor of a two-storey building in the commercial centre
Glass-fronted entrance
Fresh, modern fitout
Signage on exterior of building, facing pedestrian traffic
Ample parking in nearby shopping centres","A fresh, modern practice with potential for growth is available in the heart of Chatswood. A buyer can walk in and take advantage of the practice's untapped potential, as it is currently not operating at capacity, due to the owner working part time and only one of three surgeries being used; there are two other rooms that are plumbed but don't have chairs. ","Chatswood is a major business and residential district in the Lower North Shore of Sydney, 10 kilometres north of the CBD. It is the administrative centre of the local government area of the City of Willoughby. There are two major shopping centres, Chatswood Chase and Westfield Chatswood, as well as a few smaller shopping centres in the area. The area has a variety of restaurants and cafés and is known as a major dining destination in the Lower North Shore. Chatswood railway station is the junction of the northern & western lines of the Sydney Trains network. There is also a major bus terminal connecting Chatswood to the CBD, Bondi Junction, the Hills District and the Northern Beaches.",
N20223,"Australia, Bondi Junction",Western Australia,Bondi Junction,Metro,Dentist GP,$2M+,2000000,5,"400,000",18,10,"Located on the first floor of a commercial building
There are five fit out surgeries, and an OPG
There are two car spaces available for staff and ample on-street and Westfield parking available for patients
Close to two major developments nearing completion (Verdical & Lyf) 
The practice is also easily accessed via public transport with the Bondi Junction Bus/Rail Interchange located a short walk away","Take advantage of this rare opportunity to purchase an established multi-clinician practice with greater than $2.5m in turnover. The practice is well equipped and has 5 surgeries, a modern fitout, a spacious reception and waiting room. Located in one of Sydney’s most upmarket areas, the practice is a short distance from two major shopping centres, numerous retail shops, cafes and restaurants, and a rail and bus interchange. Patients have for their convenience a wide range of public transport options along with access to parking stations and on-street metered parking.

The clinicians are willing to stay on to facilitate a smooth transition.

This is a high quality multi-clinician practice best suited for experienced business owners.","Bondi Junction is an eastern suburb of Sydney, in the state of New South Wales. It is 6 kilometres east of the Sydney CBD. Bondi Junction features high density residential developments close to the commercial centre and low-density housing further away. Domestic architecture includes Victorian and Federation designs. Westfield Bondi Junction is a large, upmarket shopping centre located in the suburb of Bondi Junction. The six-level complex, notable for its modern structure and retail mix, has several anchor tenants including David Jones and Myer department stores, Coles and Woolworths supermarkets, an Event Cinemas complex, as well as a flagship Harvey Norman store. Bondi Beach is a neighbouring suburb to the east with a world-famous beach.",
